,,Correct?,,Seconds,,Dollars,,Tokens,,Cell Accuracy,,
Score:,Question 1,,Question Time 1,,Question Cost 1,,Question Tokens 1,,Cell Accuracy 1,,Output 1,
56.00%,Question 2,,Question Time 2,,Question Cost 2,,Question Tokens 2,,Cell Accuracy 2,,Output 2,
Total Time (seconds):,Question 3,1,Question Time 3,403.3538462,Question Cost 3,$0.42,Question Tokens 3,39327,Cell Accuracy 3,100.000%,Output 3,"{""output"": [[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8], [8, 3, 3, 3, 3, 3, 3, 8, 3, 3, 3, 3, 3, 3, 8, 3, 3, 3, 3, 3, 3, 8, 3, 3, 3, 3, 3, 3, 8], [8, 3, 8, 8, 8, 8, 3, 8, 3, 1, 8, 8, 8, 3, 8, 3, 4, 8, 8, 8, 3, 8, 3, 8, 8, 8, 8, 3, 8], [8, 3, 8, 2, 2, 8, 3, 8, 3, 8, 1, 8, 8, 3, 8, 3, 4, 4, 4, 4, 3, 8, 3, 8, 9, 8, 8, 3, 8], [8, 3, 8, 2, 2, 8, 3, 8, 3, 8, 8, 1, 8, 3, 8, 3, 8, 8, 8, 4, 3, 8, 3, 8, 9, 9, 8, 3, 8], [8, 3, 8, 8, 8, 8, 3, 8, 3, 8, 8, 8, 1, 3, 8, 3, 4, 4, 4, 4, 3, 8, 3, 8, 9, 8, 8, 3, 8], [8, 3, 8, 2, 2, 8, 3, 8, 3, 8, 8, 1, 8, 3, 8, 3, 4, 8, 8, 8, 3, 8, 3, 8, 8, 8, 8, 3, 8], [8, 3, 8, 2, 2, 8, 3, 8, 3, 8, 1, 8, 8, 3, 8, 3, 4, 4, 4, 4, 3, 8, 3, 8, 9, 8, 8, 3, 8], [8, 3, 8, 8, 8, 8, 3, 8, 3, 1, 8, 8, 8, 3, 8, 3, 8, 8, 8, 4, 3, 8, 3, 8, 9, 9, 8, 3, 8], [8, 3, 8, 2, 2, 8, 3, 8, 3, 8, 1, 8, 8, 3, 8, 3, 4, 4, 4, 4, 3, 8, 3, 8, 9, 8, 8, 3, 8], [8, 3, 8, 2, 2, 8, 3, 8, 3, 8, 8, 1, 8, 3, 8, 3, 4, 8, 8, 8, 3, 8, 3, 8, 8, 8, 8, 3, 8], [8, 3, 8, 8, 8, 8, 3, 8, 3, 8, 8, 8, 1, 3, 8, 3, 4, 4, 4, 4, 3, 8, 3, 8, 9, 8, 8, 3, 8], [8, 3, 8, 2, 2, 8, 3, 8, 3, 8, 8, 1, 8, 3, 8, 3, 8, 8, 8, 4, 3, 8, 3, 8, 9, 9, 8, 3, 8], [8, 3, 8, 2, 2, 8, 3, 8, 3, 8, 1, 8, 8, 3, 8, 3, 4, 4, 4, 4, 3, 8, 3, 8, 9, 8, 8, 3, 8], [8, 3, 8, 8, 8, 8, 3, 8, 3, 1, 8, 8, 8, 3, 8, 3, 4, 8, 8, 8, 3, 8, 3, 8, 8, 8, 8, 3, 8], [8, 3, 8, 2, 2, 8, 3, 8, 3, 8, 1, 8, 8, 3, 8, 3, 4, 4, 4, 4, 3, 8, 3, 8, 9, 8, 8, 3, 8], [8, 3, 8, 2, 2, 8, 3, 8, 3, 8, 8, 1, 8, 3, 8, 3, 8, 8, 8, 4, 3, 8, 3, 8, 9, 9, 8, 3, 8], [8, 3, 8, 8, 8, 8, 3, 8, 3, 8, 8, 8, 1, 3, 8, 3, 4, 4, 4, 4, 3, 8, 3, 8, 9, 8, 8, 3, 8], [8, 3, 8, 2, 2, 8, 3, 8, 3, 8, 8, 1, 8, 3, 8, 3, 4, 8, 8, 8, 3, 8, 3, 8, 8, 8, 8, 3, 8], [8, 3, 8, 2, 2, 8, 3, 8, 3, 8, 1, 8, 8, 3, 8, 3, 4, 4, 4, 4, 3, 8, 3, 8, 9, 8, 8, 3, 8], [8, 3, 8, 8, 8, 8, 3, 8, 3, 1, 8, 8, 8, 3, 8, 3, 8, 8, 8, 4, 3, 8, 3, 8, 9, 9, 8, 3, 8], [8, 3, 8, 2, 2, 8, 3, 8, 3, 8, 1, 8, 8, 3, 8, 3, 4, 4, 4, 4, 3, 8, 3, 8, 9, 8, 8, 3, 8], [8, 3, 8, 2, 2, 8, 3, 8, 3, 8, 8, 1, 8, 3, 8, 3, 4, 8, 8, 8, 3, 8, 3, 8, 8, 8, 8, 3, 8], [8, 3, 8, 8, 8, 8, 3, 8, 3, 8, 8, 8, 1, 3, 8, 3, 4, 4, 4, 4, 3, 8, 3, 8, 9, 8, 8, 3, 8], [8, 3, 8, 2, 2, 8, 3, 8, 3, 8, 8, 1, 8, 3, 8, 3, 8, 8, 8, 4, 3, 8, 3, 8, 9, 9, 8, 3, 8], [8, 3, 8, 2, 2, 8, 3, 8, 3, 8, 1, 8, 8, 3, 8, 3, 4, 4, 4, 4, 3, 8, 3, 8, 9, 8, 8, 3, 8], [8, 3, 8, 8, 8, 8, 3, 8, 3, 1, 8, 8, 8, 3, 8, 3, 4, 8, 8, 8, 3, 8, 3, 8, 8, 8, 8, 3, 8], [8, 3, 3, 3, 3, 3, 3, 8, 3, 3, 3, 3, 3, 3, 8, 3, 3, 3, 3, 3, 3, 8, 3, 3, 3, 3, 3, 3, 8], [8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]]}"
8744.748718,Question 4,1,Question Time 4,569.3641026,Question Cost 4,$0.59,Question Tokens 4,55513,Cell Accuracy 4,100.000%,Output 4,"{""output"": [[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3], [3, 1, 1, 1, 0, 0, 0, 0, 3, 3, 3, 3, 3, 3, 1, 1, 1, 1, 1, 3], [3, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3], [3, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3], [3, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3], [3, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1, 1, 1, 1, 3], [3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 1, 1, 1, 1, 3], [3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 1, 1, 1, 3], [3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 1, 1, 3], [3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 1, 1, 3], [3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1, 1, 1, 3, 3, 3, 1, 1, 1, 3], [3, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 3, 3, 1, 1, 1, 1, 3], [3, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 3, 3, 1, 1, 1, 1, 3], [3, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 3], [3, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 2, 2, 2, 2], [3, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 2, 2, 2, 2], [3, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 1, 2, 2, 2, 2], [3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 1, 2, 2, 2, 2], [3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3], [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]]}"
Total Cost (dollars):,Question 5,1,Question Time 5,624.5846154,Question Cost 5,$0.65,Question Tokens 5,60897,Cell Accuracy 5,100.000%,Output 5,"{""output"": [[7, 7, 9], [7, 2, 9], [7, 2, 9], [7, 7, 9], [4, 4, 7], [4, 4, 7], [6, 6, 1], [6, 6, 6], [1, 6, 1]]}"
$9.11,Question 6,1,Question Time 6,369.4051282,Question Cost 6,$0.38,Question Tokens 6,36017,Cell Accuracy 6,100.000%,Output 6,"{""outputs"": [ [[0,5,5,5,5,4,5,0,0,0,5,0,0,0,5,0,0,0,5,0], [0,0,0,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0], [0,0,0,0,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2], [0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0], [0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0], [0,0,7,6,6,4,6,7,6,7,6,7,6,7,6,7,6,7,6,7], [0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0], [6,6,8,8,8,4,8,0,6,8,6,0,8,0,6,8,6,0,8,0], [0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0], [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]], [[0,0,0,0,0,0,0,0,0,0,0,0,3,0,0], [0,0,0,0,0,0,0,0,0,0,0,2,3,2,2], [0,0,0,0,0,0,0,0,0,0,0,0,3,0,0], [0,0,0,0,0,0,0,0,0,0,4,4,3,4,0], [0,0,0,0,0,0,0,0,0,0,0,0,3,0,0], [0,0,0,0,0,0,0,0,6,6,6,6,3,6,0], [0,0,0,0,0,0,0,0,0,0,0,0,3,0,0], [0,0,0,0,0,0,0,0,0,0,9,7,3,7,7]], [[0,0,0,0,0,0,0,0,0,0,0,0,3,0,0], [4,4,4,4,4,4,4,4,4,4,4,4,3,4,0], [0,0,0,0,0,0,0,0,0,0,0,0,3,0,0], [0,7,0,7,0,7,0,7,0,7,0,7,3,7,7], [0,0,0,0,0,0,0,0,0,0,0,0,3,0,0], [6,6,6,6,6,6,6,6,6,6,6,6,3,6,0], [0,0,0,0,0,0,0,0,0,0,0,0,3,0,0], [0,5,0,5,0,5,0,5,0,5,0,5,3,5,5]] ]}"
Model:,Question 7,1,Question Time 7,330.7384615,Question Cost 7,$0.34,Question Tokens 7,"32,247",Cell Accuracy 7,100.000%,Output 7,"{""outputs"": [[[4,4,4,4,4,4,4,4,4,4],[4,1,4,1,4,4,4,4,4,1],[4,1,4,1,4,4,4,4,4,1],[4,1,4,1,4,4,4,4,4,1],[1,1,1,1,1,4,4,4,1,1]], [[4,4,4,1,1,1,1,1],[4,1,1,4,1,1,1,1],[4,1,1,1,4,1,1,1],[4,4,4,4,4,1,1,1],[1,1,1,4,4,4,4,4],[1,1,1,4,1,1,1,4],[1,1,1,1,4,1,1,4],[1,1,1,1,1,4,4,4]]]}"
Claude Opus 4.8,Question 8,,Question Time 8,0,Question Cost 8,$0.00,Question Tokens 8,,Cell Accuracy 8,,Output 8,
Date:,Question 9,0,Question Time 9,635.4358974,Question Cost 9,$0.66,Question Tokens 9,"61,955",Cell Accuracy 9,70.700%,Output 9,"{ ""outputs"": [ [[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3],[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,9,9,3,3,3],[3,3,3,3,3,3,3,3,3,3,3,8,8,8,8,8,8,8,8,8,8,3,3,3,9,9,9,9,3,3],[3,3,3,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,3,3,9,9,9,9,3,3],[3,3,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,3,9,9,9,9,3,3],[3,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,3,3,3,3,3,3,3],[3,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,3,3,3,3,3,3,8],[3,8,8,8,8,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,3,3,3,3,3,3,8,8],[3,8,8,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,8,8,8],[3,8,8,2,2,2,2,2,2,2,2,2,2,6,6,6,6,2,2,2,2,2,3,3,3,3,3,8,8,8],[3,8,8,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,2,2,3,3,3,3,8,8,8,8],[3,8,8,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,2,3,3,3,3,8,8,8,8],[3,8,8,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,3,3,3,8,8,8,8],[3,8,8,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,3,8,8,8,8,8],[0,0,0,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,3,8,8,8,8,8],[0,0,0,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,3,8,8,8,8,8],[0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,3,3,8,8,8,8,8],[0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,3,8,8,8,8,8],[0,0,0,0,0,0,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,3,8,8,8,8,8],[0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,6,6,6,6,6,6,6,6,6,3,8,8,8,8,8],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,3,3,8,8,8,8],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,3,3,3,8,8,8,8],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,6,6,6,6,6,6,3,3,3,0,0,8,8],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,6,6,6,6,6,3,3,3,0,0,0,8,8],[0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,6,6,6,6,3,3,3,3,0,0,0,0,8,8],[0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0],[0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]], [[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3],[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3],[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3],[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3],[2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5],[2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5],[2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5],[2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5],[2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5],[2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5],[2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5],[2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5],[2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5],[2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5],[2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5],[2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5],[2,2,2,2,2,2,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5],[2,2,2,2,2,2,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5],[2,2,2,2,2,2,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5],[2,2,2,2,2,2,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5],[6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6],[6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6],[6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6],[6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6]] ] }"
5/28/2026,Question 10,1,Question Time 10,650.5641026,Question Cost 10,$0.68,Question Tokens 10,63430,Cell Accuracy 10,100.000%,Output 10,"{""outputs"": [ [[8,8,8,8,8,8,8,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8],[8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8],[8,8,8,8,8,8,8,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8],[8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8],[8,8,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8,8,8,8,8],[8,8,8,8,6,6,6,8,8,8,8,8,8,8,8,6,6,6,6,6,6,6,8,8,8],[8,8,8,8,8,6,6,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,8,8,8],[8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,8,6,6,6,8,8,8,8],[8,8,8,8,8,8,8,4,4,4,4,4,4,4,4,6,6,6,8,8,8,8,8,8,8],[8,8,8,8,8,6,8,8,8,8,8,8,8,8,8,6,6,6,8,8,8,8,8,8,8],[8,8,8,3,3,3,3,3,3,3,3,3,3,3,3,8,8,8,8,8,8,8,8,8,8],[8,8,8,8,8,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8],[8,8,8,8,8,8,8,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8],[8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,6,6,8,8,8],[8,8,8,8,8,8,8,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,8,8],[8,8,8,8,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,8,8,8],[8,8,8,3,3,3,3,3,3,3,3,3,3,3,3,8,8,8,3,3,3,3,8,8,8],[8,8,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,6,6,6],[8,8,8,8,6,6,6,4,4,4,4,4,4,4,4,8,8,8,6,6,6,6,6,6,6],[8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,6],[8,8,8,8,8,6,6,4,4,4,4,4,4,4,4,6,6,8,8,6,6,6,6,6,8],[8,8,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8],[8,8,8,8,8,3,3,3,3,3,3,3,3,3,3,3,3,8,8,8,8,8,8,8,8],[8,8,8,8,8,6,6,8,8,8,8,8,8,8,8,6,6,8,8,8,8,8,8,8,8],[8,8,8,8,8,8,8,4,4,4,4,4,4,4,4,6,6,8,8,8,8,8,8,8,8]], [[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2],[2,2,2,2,2,2,2,2,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2],[2,2,2,2,2,2,2,2,1,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,2],[2,2,2,2,2,2,2,1,1,1,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,3,2],[2,2,2,2,2,2,2,1,1,1,3,1,1,1,1,2,2,2,1,1,2,2,2,2,2,1,1,1,3,2],[4,2,4,2,3,2,4,2,4,2,3,2,4,2,4,2,3,2,4,2,4,2,3,2,4,2,4,2,3,2],[4,2,4,2,3,2,4,2,4,2,3,2,4,2,4,2,3,2,4,2,4,2,3,2,4,2,4,2,3,2],[4,2,4,2,3,2,4,2,4,2,3,2,4,2,4,2,3,2,4,2,4,2,3,2,4,2,4,2,3,2],[4,2,4,2,3,2,4,2,4,2,3,2,4,2,4,2,3,2,4,2,4,2,3,2,4,2,4,2,3,2],[4,2,4,2,3,2,4,2,4,2,3,2,4,2,4,2,3,2,4,2,4,2,3,2,4,2,4,2,3,2],[2,2,2,1,3,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2],[2,2,2,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2],[2,2,2,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2],[2,2,2,1,3,2,2,2,2,1,3,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2],[2,1,1,1,3,2,2,2,1,1,3,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2],[2,2,1,1,2,2,2,2,1,1,3,1,1,1,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,2],[2,2,1,1,2,2,1,1,1,1,3,1,1,1,2,2,3,1,2,2,2,2,3,1,1,1,2,2,2,2],[2,2,2,2,2,1,1,2,1,1,3,1,2,2,2,2,3,1,2,2,2,1,3,1,1,1,2,2,2,2],[2,2,2,2,2,2,2,2,1,1,3,1,2,2,2,2,3,1,2,2,1,1,3,1,1,1,2,2,2,2],[2,2,2,2,2,2,2,2,2,1,3,1,2,2,2,2,2,2,2,2,1,1,3,1,1,1,1,2,2,2],[2,2,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,1,1,1,1,2,2,2],[2,2,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,1,1,1,1,2,2,2],[2,2,2,1,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,1,1,2,2,2],[2,2,2,1,3,1,1,1,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,1,1,1,2,2,2],[2,2,2,1,3,1,1,2,2,2,2,1,1,1,1,1,3,2,2,2,2,2,2,1,1,1,2,2,2,2],[2,2,1,1,3,1,2,2,2,1,3,1,1,1,1,1,3,2,2,2,2,2,2,2,2,1,2,2,2,2],[2,2,2,1,3,1,2,2,2,1,3,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2],[2,2,2,1,3,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2],[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2],[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2]] ]}"
